"","numéro","n_spp","n_WE","n_WNE","n_HE","n_HNE","n_Med","n_edible","n_woody","dom_group","Concatenation","country","latitude","longitude","farm type","Intervention_reclass","exp_type","has_WNE","has_WE","has_HE"
"692","1738",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"693","1739",2,2,0,0,0,1,2,2,"WE","WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"694","174",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"695","1740",2,2,0,0,0,1,2,2,"WE","WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"696","1741",2,1,1,0,0,1,1,2,"WE","WNE, WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"697","1742",2,1,1,0,0,1,1,2,"WE","WNE, WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"698","1743",2,1,0,1,0,1,2,1,"HE","HE, WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"699","1744",2,1,0,1,0,1,2,1,"HE","HE, WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"700","1745",2,2,0,0,0,1,2,2,"WE","WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"701","1746",2,2,0,0,0,1,2,2,"WE","WE","Brazil","20°45'00,000S","41°47'00,000W","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"702","175",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"703","1759",2,2,0,0,0,1,2,2,"WE","WE","China","31°01'00,000N","115°53'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"704","176",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"705","1760",2,2,0,0,0,1,2,2,"WE","WE","China","31°01'00,000N","115°53'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"706","1761",3,0,2,1,0,0,1,2,"WNE","WNE, HE","Kazakhstan","42°38'00,000N","75°66'00,000E","working farm","Hedgerows","WNE + HE",TRUE,FALSE,TRUE
"707","1762",3,0,2,1,0,0,1,2,"WNE","WNE, HE","Kazakhstan","42°38'00,000N","75°66'00,000E","working farm","Hedgerows","WNE + HE",TRUE,FALSE,TRUE
"708","1763",3,0,2,1,0,0,1,2,"WNE","WNE, HE","Kazakhstan","42°38'00,000N","75°66'00,000E","working farm","Hedgerows","WNE + HE",TRUE,FALSE,TRUE
"709","1764",3,0,2,1,0,0,1,2,"WNE","WNE, HE","Kazakhstan","42°38'00,000N","75°66'00,000E","working farm","Hedgerows","WNE + HE",TRUE,FALSE,TRUE
"710","1765",3,1,2,0,0,0,1,3,"WNE","WNE, WE","Kazakhstan","42°38'00,000N","75°66'00,000E","working farm","Hedgerows","WNE + WE",TRUE,TRUE,FALSE
"711","1766",14,4,9,1,0,1,5,13,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"712","1767",14,4,9,1,0,1,5,13,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"713","1768",44,16,20,8,0,4,24,36,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"714","1769",14,4,9,1,0,1,5,13,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"715","177",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"716","1770",14,4,9,1,0,1,5,13,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"717","1771",44,16,20,8,0,4,24,36,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"718","1772",14,4,9,1,0,1,5,13,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"719","1773",14,4,9,1,0,1,5,13,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
"720","1774",44,16,20,8,0,4,24,36,"WNE","WNE, HE, WE","Bolivia","15°27'36,600S","67°28'20,650W","experimental site","Multi-strata systems","Multi-type",TRUE,TRUE,TRUE
