id,source_id,intervention_by_complexity,intervention_by_richness,Number_Total,lat_map,lon_map,n_id_complexity,n_id_richness
505,1101,Very simple,2,2,7.500000,80.500000,4,4
506,1119,Very simple,2,2,7.500000,80.500000,4,4
508,1170,Very simple,2,2,3.850000,11.450000,6,6
512,1275,Very simple,2,2,6.750000,80.250000,6,6
513,1283,Very simple,2,2,-4.633333,105.250000,15,15
514,1336,Very simple,2,2,-1.850000,-60.066667,1,1
516,1409,Simple,2,2,0.100000,34.566667,20,28
517,1409,Very simple,2,2,0.100000,34.566667,8,28
518,1454,Very simple,2,2,37.833333,-93.833333,2,2
519,1484,Very simple,2,2,30.766667,-87.216667,4,4
521,3792,Very simple,2,2,28.250000,116.916667,1,1
522,3822,Very simple,2,2,13.166667,30.200000,6,6
523,3848,Very simple,2,2,5.666667,-6.716667,8,8
526,3910,Very simple,2,2,36.100000,110.583333,2,2
527,3949,Very simple,2,2,7.536779,-5.571710,6,6
529,3953,Very simple,2,2,31.666667,120.700000,2,2
532,3986,Very simple,2,2,30.350000,70.866667,3,3
533,3995,Very simple,2,2,-22.708333,-47.633333,10,10
534,4010,Very simple,2,2,29.100000,75.460000,1,1
535,4045,Very simple,2,2,35.016667,112.466667,2,2
536,4057,Simple,2,2,-7.416667,-35.100000,6,6
537,4134,Very simple,2,2,-1.559000,120.022000,1,1
544,4302,Very simple,2,2,-22.367500,-53.917500,1,1
545,4419,Very simple,2,2,43.717456,3.859986,8,8
549,4470,Very simple,2,2,-22.350000,-48.366667,2,2
551,4564,Very simple,2,2,43.541111,-80.208889,5,5
554,4624,Very simple,2,2,12.250000,75.416667,6,6
555,4693,Very simple,2,2,38.820809,-96.331617,5,5
562,4812,Very simple,2,2,-2.135556,-47.533333,1,1
566,4849,Very simple,2,2,43.700000,3.850000,1,1
567,4856,Very simple,2,2,22.966667,88.516667,7,7
571,4895,Very simple,2,2,29.641667,106.183333,4,4
573,5001,Very simple,2,2,-22.350000,-48.366667,6,6
574,5023,Very simple,2,2,29.166667,75.733333,9,9
